EURUSD_Spot_ASK,EURUSD_Spot_BID,EURUSD_Spot_MID,EURUSD_1Y_ATM_VOL_ASK,EURUSD_1Y_ATM_VOL_BID,EURUSD_1Y_ATM_VOL_MID,EURUSD_1Y_25DELTA_Risk_Reversal_ASK,EURUSD_1Y_25DELTA_Risk_Reversal_BID,EURUSD_1Y_25DELTA_Risk_Reversal_MID,EURUSD_1Y_25DELTA_Butterfly_ASK,EURUSD_1Y_25DELTA_Butterfly_BID,EURUSD_1Y_25DELTA_Butterfly_MID,EURUSD_5Y_ATM_VOL_ASK,EURUSD_5Y_ATM_VOL_BID,EURUSD_5Y_ATM_VOL_MID,EURUSD_5Y_25DELTA_Risk_Reversal_ASK,EURUSD_5Y_25DELTA_Risk_Reversal_BID,EURUSD_5Y_25DELTA_Risk_Reversal_MID,EURUSD_5Y_25DELTA_Butterfly_ASK,EURUSD_5Y_25DELTA_Butterfly_BID,EURUSD_5Y_25DELTA_Butterfly_MID,EURUSD_Spot_SPREAD,EURUSD_Spot_RETURNS,EURUSD_Spot_LOG_RETURNS,EURUSD_1Y_ATM_Spread,EURUSD_5Y_ATM_Spread,EURUSD_5Y_ATM_VOL_STRUCT,EURUSD_1Y_REALISED_VOL,EURUSD_SPOT_CUMULATIVE,EURUSD_SPOT_PEAK,EURUSD_SPOT_DRAWDOWN,Date
1.1217,1.1208,1.12126,5.97,5.57,5.77,0.555,0.275,0.415,0.345,0.145,0.245,7.405,6.925,7.165,0.38,0.045,0.2125,0.4,0.16,0.28,0.0008999999999999009,,,0.39999999999999947,0.4800000000000004,1.3950000000000005,,,,,2019-12-31
1.1217,1.1207,1.12121,5.96,5.56,5.76,0.55,0.27,0.41,0.345,0.145,0.245,7.395,6.915,7.155,0.385,0.05,0.2175,0.4,0.16,0.28,0.0009999999999998899,-4.459269036605207e-05,-4.459368464962774e-05,0.40000000000000036,0.47999999999999954,1.3950000000000005,,0.999955407309634,0.999955407309634,0.0,2020-01-01
1.1174,1.1171,1.11725,5.845,5.645,5.745,0.435,0.295,0.365,0.295,0.195,0.245,7.25,7.01,7.13,0.225,0.06,0.1425,0.34,0.22,0.28,0.00029999999999996696,-0.0035318985738621578,-0.003538150452638845,0.20000000000000018,0.2400000000000002,1.3849999999999998,,1.0000001574968596,1.0000001574968596,0.0,2020-01-02
1.1171,1.115,1.11606,5.89,5.69,5.79,0.43,0.29,0.36,0.295,0.195,0.245,7.29,7.01,7.15,0.21,0.01,0.11,0.355,0.21,0.2825,0.0020999999999999908,-0.0010651152383083229,-0.0010656828766463866,0.1999999999999993,0.28000000000000025,1.3600000000000003,,0.9999999998322477,1.0000001574968596,-1.576645869789822e-07,2020-01-03
1.1199,1.1196,1.11972,5.875,5.675,5.775,0.425,0.285,0.355,0.295,0.195,0.245,7.315,7.06,7.1875,0.185,0.01,0.0975,0.35,0.225,0.2875,0.00029999999999996696,0.0032793935809902752,0.0032740280970164474,0.20000000000000018,0.2550000000000008,1.4124999999999996,,0.9999999999994499,1.0000001574968596,-1.574973848642945e-07,2020-01-06
1.1155,1.1151,1.11532,5.77,5.57,5.67,0.43,0.29,0.36,0.29,0.19,0.24,7.29,7.03,7.16,0.215,0.03,0.1225,0.345,0.21,0.2775,0.00039999999999995595,-0.003929553817025644,-0.003937294799351787,0.1999999999999993,0.2599999999999998,1.4900000000000002,,1.0000000000000022,1.0000001574968596,-1.5749683252842672e-07,2020-01-07
1.1106,1.1105,1.11054,5.695,5.495,5.595,0.42,0.28,0.35,0.295,0.195,0.245,7.24,6.955,7.0975,0.2,0.005,0.1025,0.355,0.21,0.2825,9.999999999998899e-05,-0.004285765520209428,-0.0042949757378987555,0.20000000000000018,0.28500000000000014,1.5025000000000004,,1.0,1.0000001574968596,-1.5749683474887242e-07,2020-01-08
1.1107,1.1104,1.11058,5.565,5.365,5.465,0.425,0.285,0.355,0.295,0.195,0.245,7.14,6.89,7.015,0.185,0.01,0.0975,0.345,0.22,0.2825,0.00029999999999996696,3.601851351575647e-05,3.601786486467411e-05,0.20000000000000018,0.25,1.5499999999999998,,1.0,1.0000001574968596,-1.5749683474887242e-07,2020-01-09
1.1132,1.1111,1.11215,5.505,5.305,5.405,0.445,0.305,0.375,0.285,0.185,0.235,7.09,6.85,6.97,0.215,0.045,0.13,0.33,0.21,0.27,0.0020999999999999908,0.0014136757370024622,0.0014126774381942155,0.20000000000000018,0.2400000000000002,1.5649999999999995,,1.0,1.0000001574968596,-1.5749683474887242e-07,2020-01-10
1.1135,1.1133,1.11342,5.535,5.335,5.435,0.46,0.32,0.39,0.28,0.18,0.23,7.085,6.82,6.9525,0.22,0.035,0.1275,0.335,0.205,0.27,0.00019999999999997797,0.0011419322933059473,0.001141280784563445,0.20000000000000018,0.2649999999999997,1.5175,,1.0,1.0000001574968596,-1.5749683474887242e-07,2020-01-13
